ACC_Y,HEIGHT
-826,94.40979935
-826,93.44842539
-972,92.70030546
-875,93.44842539
-875,93.65386966
-826,92.70030546
-875,93.65386966
-777,92.96838967
-875,93.65386966
-924,93.65386966
-875,93.44842539
-924,94.13426598
-972,92.96838967
-875,93.65386966
-875,93.44842539
-875,93.65386966
-924,94.40173578
-924,94.40173578
-875,93.44842539
-875,93.65386966
-875,93.65386966
-924,93.65386966
-875,93.85908808
-924,92.42650751
-875,92.42650751
-875,93.85908808
-826,93.17390751
-875,93.85908808
-924,93.17390751
-826,93.17390751
-875,93.85908808
-972,92.96838967
-875,92.96838967
-875,93.65386966
-924,92.96838967
-826,93.65386966
-972,92.96838967
-972,93.65386966
-924,93.85908808
-875,93.85908808
-875,93.17390751
-924,93.17390751
-924,93.17390751
-875,92.42650751
-826,93.17390751
-924,93.65386966
-924,92.96838967
-875,92.96838967
-875,93.65386966
-826,93.17390751
-875,93.17390751
-875,93.3791995
-875,93.58426565
-826,93.58426565
-875,94.1263456
-875,93.3791995
-924,93.58426565
-826,94.33108507
-875,94.33108507
-826,92.89974505
-924,92.21528553
-826,92.89974505
-924,93.85131089
-826,93.10488479
-924,92.66950311
-875,94.10013574
-826,94.10013574
-875,94.10013574
-924,94.30461402
-826,93.14162757
-924,93.14162757
-826,93.34625307
-826,93.14162757
-924,93.34625307
-875,93.34625307
-826,92.39596377
-875,92.60091596
-875,92.60091596
-875,92.60091596
-875,92.60091596
-826,92.39596377
-875,92.60091596
-777,92.60091596
-875,93.14162757
-777,93.14162757
-875,92.39596377
-875,92.39596377
-826,93.14162757
-924,92.39596377
-777,93.14162757
-875,93.82521649
-826,93.14162757
-972,93.82521649
-826,92.87460756
-924,92.39596377
-924,92.39596377
-972,93.14162757
-875,93.34625307
-924,92.60091596
-875,91.91775401
-924,92.12277982
-924,92.38962844
-924,93.58658679
-924,93.04647821
-875,93.04647821
-875,92.56883315
-875,92.56883315
-875,92.56883315
-826,92.56883315
-875,92.56883315
-826,92.56883315
-875,92.56883315
-777,92.56883315
-875,93.04647821
-777,93.04647821
-924,92.16003581
-875,93.79047213
-924,93.58658679
-924,92.84226611
-777,92.84226611
-924,93.58658679
-924,93.27644437
-875,93.27644437
-924,92.59417532
-875,92.84226611
-826,93.58658679
-924,92.84226611
-875,92.84226611
-826,93.58658679
-875,92.16003581
-875,92.36454741
-875,94.2689444
-875,93.79047213
-972,93.79047213
-875,93.79047213
-826,93.79047213
-924,93.31243392
-924,92.56883315
-875,93.31243392
-924,93.31243392
-875,93.04647821
-924,93.04647821
-875,93.04647821
-924,93.04647821
-826,92.16003581
-924,93.04647821
-777,92.36454741
-875,95.21666295
-826,93.31243392
-875,93.516167
-826,92.83482975
-924,92.25216125
-875,92.99469126
-875,92.99469126
-826,92.25216125
-924,93.19815513
-924,92.24495278
-875,92.49210788
-875,92.69538427
-826,92.96017029
-875,92.96017029
-875,92.21937669
-777,92.21937669
-924,92.42250086
-924,91.743803
-875,93.16296759
-924,92.21937669
-924,92.21937669
-924,92.01602661
-924,92.01602661
-875,93.43657086
-875,92.49210788
-924,91.81245064
-875,92.92464862
-972,92.24495278
-875,92.24495278
-972,91.97952679
-875,91.97952679
-875,92.51779943
-826,92.51779943
-875,93.19815513
-875,92.25216125
-875,92.25216125
-924,92.25216125
-826,92.25216125
-875,92.99469126
-875,92.25216125
-924,92.83482975
-924,92.83482975
-924,91.8872627
-924,92.56883315
-875,92.56883315
-826,92.36454741
-826,92.36454741
-875,91.6206923
-826,91.6206923
-924,93.79047213
-875,92.56883315
-924,91.14380064
-972,92.09162208
-875,91.77566245
-875,91.29959755
-875,92.92464862
-875,93.23362133
-875,93.43657086
-924,94.3802263
-826,92.96017029
-924,92.96017029
-875,92.69538427
-875,92.21937669
-826,92.01602661
-875,92.69538427
-875,92.01602661
-875,91.81245064
-875,91.81245064
-875,92.69538427
-875,91.81245064
-777,92.01602661
-875,92.69538427
-875,92.01602661
-924,92.69538427
-875,92.69538427
-875,92.01602661
-924,92.69538427
-972,91.81245064
-924,91.81245064
-924,91.81245064
-924,92.24495278
-875,91.29959755
-826,91.29959755
-875,92.72133698
-826,92.51779943
-875,92.25216125
-924,92.25216125
-875,91.41041192
-875,92.09162208
-972,92.09162208
-875,91.8872627
-875,92.56883315
-875,93.04647821
-875,92.36454741
-972,92.36454741
-875,92.84226611
-924,92.59417532
-875,92.84226611
-875,92.84226611
-924,92.16003581
-972,93.04647821
-826,93.04647821
-826,93.04647821
-875,93.04647821
-924,93.04647821
-826,92.56883315
-826,93.04647821
-875,93.04647821
-875,92.36454741
-875,92.16003581
-972,92.59417532
-875,92.84226611
-875,92.59417532
-875,92.38962844
-826,91.84995125
-875,93.27644437
-875,92.38962844
-777,92.38962844
-826,92.38962844
-924,92.86772374
-924,92.86772374
-875,92.86772374
-924,92.12277982
-875,92.86772374
-972,92.86772374
