Date,Time,ChangeFlag,ACC X,ACC Y,ACC Z,IMU X_RATE,IMU Y_RATE,IMU Z_RATE,          IMU X_OFFSET,IMU Y_OFFSET,IMU Z_OFFSET,IMU ACC_X,IMU ACC_Y,IMU ACC_Z,MS5611 Temperature,MS5611 Pressure,GNSS Lat,GNSS Long,GNSS Alt,GNSS velocity,BME280 Pressure,BME280 Temperature,BME280 Humidity,
0,138:253:65535:0,1,-117,979,-500,-1090030554,-537048258,34720,1090079904,537067088,0,-1017,-81,-452,1982,101036,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,78,1223,-549,-1090018724,-537008568,-1820,1090079904,537067088,0,-973,39,-400,1982,101021,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,29,930,-451,-1090021984,-536978678,-7490,1090079664,537067088,0,-893,33,-359,1982,101025,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-19,881,-402,-1090048858,-536997508,13650,1090079728,537067088,0,-927,-44,-332,1982,101036,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-117,979,-500,-1090068844,-537028588,22890,1090079904,537067088,0,-967,-117,-390,1982,101032,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-214,1028,-549,-1090092090,-537048118,43120,1090079840,537067088,0,-1031,-137,-477,1982,101032,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-166,1076,-695,-1090078440,-537057428,36960,1090079840,537067088,0,-991,-123,-474,1982,101044,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,1028,-744,-1090051822,-537059178,44450,1090080032,537067088,0,-894,-105,-397,1982,101036,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-166,930,-500,-1090052534,-537062328,59850,1090079904,537067088,0,-942,-245,-348,1982,101032,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-166,979,-402,-1090069620,-537064988,62020,1090079840,537067088,0,-1013,-92,-340,1982,101036,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,1174,-451,-1090070594,-537063168,62020,1090079904,537067088,0,-1064,-89,-372,1982,101025,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-117,1174,-549,-1090070838,-537060088,57610,1090079728,537067088,0,-1162,-85,-404,1982,101025,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,1272,-549,-1090045918,-537072478,46620,1090079728,537067088,0,-1201,-20,-370,1982,101032,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,29,1320,-549,-1090051630,-537075628,26810,1090079840,537067088,0,-1177,-9,-298,1982,101032,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-68,1223,-402,-1090059120,-537064078,9660,1090079840,537067088,0,-1087,-66,-261,1982,101025,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-68,1125,-402,-1090072588,-537060508,-16660,1090079728,537067088,0,-985,-97,-263,1982,101032,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,979,-402,-1090077530,-537084658,3500,1090079840,537067088,0,-913,-128,-284,1982,101032,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-166,930,-451,-1090080190,-537067158,9240,1090079840,537067088,0,-927,-155,-310,1982,101032,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-214,930,-500,-1090074940,-537075628,11830,1090079840,537067088,0,-955,-154,-316,1982,101032,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-166,1028,-500,-1090059120,-537080458,9660,1090079840,537067088,0,-939,-127,-286,1982,101044,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,930,-354,-1090053152,-537084518,7490,1090080032,537067088,0,-929,-142,-254,1982,101032,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,979,-354,-1090058210,-537082278,8750,1090079840,537067088,0,-935,-136,-247,1982,101044,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,1028,-402,-1090057562,-537085848,10990,1090080032,537067088,0,-959,-119,-260,1982,101032,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-68,1028,-402,-1090047220,-537092008,9660,1090079840,537067088,0,-989,-84,-238,1982,101032,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,1076,-354,-1090039310,-537103558,2590,1090079840,537067088,0,-982,-75,-189,1982,101032,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-68,1028,-256,-1090046310,-537102228,-490,1090079840,537067088,0,-952,-110,-195,1981,101028,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,979,-354,-1090056816,-537098658,-3080,1090079776,537067088,0,-912,-123,-236,1982,101021,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-166,881,-402,-1090049214,-537093828,-17920,1090079664,537067088,0,-863,-113,-261,1982,101044,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,930,-402,-1090032432,-537088508,10080,1090080032,537067088,0,-866,-112,-249,1982,101032,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,930,-402,-1090029650,-537088928,10080,1090079840,537067088,0,-894,-106,-221,1982,101032,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,930,-354,-1090030490,-537086688,17570,1090079840,537067088,0,-939,-97,-196,1981,101040,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,1028,-354,-1090024948,-537085848,11900,1090079968,537067088,0,-1001,-98,-187,1982,101032,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-166,1076,-402,-1090029160,-537090258,4410,1090079840,537067088,0,-969,-107,-194,1982,101032,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,979,-305,-1090035320,-537092918,7000,1090079840,537067088,0,-931,-114,-206,1982,101032,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-214,1028,-354,-1090032730,-537086688,6580,1090079840,537067088,0,-973,-158,-223,1981,101028,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-214,1076,-354,-1090024756,-537078708,2590,1090079776,537067088,0,-992,-208,-228,1981,101040,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-263,1028,-354,-1090011718,-537072058,7000,1090079968,537067088,0,-978,-190,-144,1982,101032,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-166,979,-256,-1090022580,-537082698,24150,1090079840,537067088,0,-984,-113,-128,1981,101028,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,1028,-256,-1090068716,-537091168,20790,1090079776,537067088,0,-1121,-106,-256,1981,101040,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,1223,-305,-1090088228,-537079618,36960,1090079968,537067088,0,-1204,-115,-340,1981,101040,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,1223,-549,-1090076818,-537078288,10080,1090079968,537067088,0,-1133,-107,-368,1981,101028,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,1174,-598,-1090053736,-537072478,0,1090079776,537067088,0,-1018,-94,-355,1981,101040,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,1076,-500,-1090027538,-537045458,-5320,1090079968,537067088,0,-994,-142,-304,1981,101028,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,1028,-402,-1090023426,-537033418,-4410,1090079776,537067088,0,-949,-158,-225,1981,101040,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-263,979,-354,-1090034188,-537048538,-910,1090079968,537067088,0,-904,-170,-177,1981,101040,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-214,930,-305,-1090050848,-537072478,11830,1090079968,537067088,0,-924,-183,-181,1981,101040,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-214,979,-305,-1090064498,-537079618,20230,1090079968,537067088,0,-964,-208,-205,1981,101040,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-214,1028,-256,-1090071498,-537075628,9660,1090079968,537067088,0,-976,-213,-244,1981,101040,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-263,1076,-402,-1090083818,-537065408,-2660,1090079968,537067088,0,-962,-241,-315,1981,101028,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-214,979,-500,-1090102526,-537062328,-10570,1090079776,537067088,0,-922,-283,-357,1981,101028,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-263,979,-598,-1090063886,-537059178,-12810,1090079776,537067088,0,-859,-231,-355,1981,101028,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-214,930,-402,-1090048486,-537060088,-22050,1090079776,537067088,0,-791,-195,-333,1981,101040,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-214,784,-451,-1090057918,-537052528,-6650,1090079968,537067088,0,-795,-199,-332,1981,101028,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-263,881,-500,-1090056396,-537049868,4410,1090079776,537067088,0,-840,-221,-340,1980,101035,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-214,930,-500,-1090044188,-537060998,1750,1090079888,537067088,0,-850,-216,-332,1981,101040,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-214,930,-451,-1090039858,-537067648,3080,1090079968,537067088,0,-827,-205,-284,1981,101040,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-214,881,-354,-1090038528,-537056518,6580,1090079968,537067088,0,-813,-218,-244,1981,101040,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-263,832,-402,-1090051758,-537053438,12320,1090079968,537067088,0,-803,-260,-255,1981,101040,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-214,784,-402,-1090051338,-537060998,14980,1090079968,537067088,0,-827,-206,-270,1981,101040,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-263,930,-451,-1090041608,-537061418,18060,1090079968,537067088,0,-845,-184,-271,1981,101040,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-214,930,-402,-1090037688,-537057428,26390,1090079968,537067088,0,-886,-164,-239,1981,101040,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-166,930,-354,-1090034608,-537054768,25480,1090079968,537067088,0,-915,-130,-221,1981,101028,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,979,-354,-1090043166,-537054278,25480,1090079776,537067088,0,-970,-115,-219,1980,101035,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-166,1076,-305,-1090050768,-537060508,21980,1090079888,537067088,0,-971,-117,-223,1980,101035,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-166,979,-305,-1090055598,-537070728,15400,1090079888,537067088,0,-934,-119,-235,1980,101035,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,1028,-354,-1090052098,-537070728,33740,1090079888,537067088,0,-924,-121,-246,1980,101024,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-117,979,-402,-1090052832,-537066738,15400,1090079712,537067088,0,-942,-115,-248,1980,101035,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-166,1028,-402,-1090049928,-537064078,19810,1090079888,537067088,0,-943,-121,-231,1980,101035,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-166,979,-354,-1090050348,-537069398,14070,1090079888,537067088,0,-919,-125,-231,1980,101035,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-68,930,-402,-1090055178,-537072968,12740,1090079888,537067088,0,-929,-122,-237,1980,101035,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-166,1028,-354,-1090051678,-537082278,21980,1090079888,537067088,0,-945,-95,-210,1980,101047,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-68,979,-305,-1090061390,-537082278,15820,1090080080,537067088,0,-933,-87,-162,1980,101035,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-214,1028,-256,-1090065748,-537073388,21980,1090079888,537067088,0,-971,-108,-198,1980,101035,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,1125,-305,-1090098298,-537051478,29470,1090079888,537067088,0,-1066,-59,-285,1980,101035,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,1174,-598,-1090098718,-537074298,21560,1090079888,537067088,0,-1125,-23,-370,1980,101035,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-68,1223,-500,-1090091228,-537080948,6580,1090079888,537067088,0,-1109,-26,-426,1980,101035,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-19,1125,-549,-1090081148,-537077798,5670,1090079888,537067088,0,-1038,-15,-434,1980,101035,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-19,979,-549,-1090058678,-537069398,6160,1090079888,537067088,0,-961,36,-377,1980,101047,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,29,979,-500,-1090055790,-537058338,24220,1090080080,537067088,0,-984,4,-338,1980,101035,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-19,979,-451,-1090068828,-537064988,25060,1090079888,537067088,0,-1003,12,-312,1980,101024,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,29,1028,-402,-1090088882,-537077798,29470,1090079712,537067088,0,-1069,46,-352,1980,101035,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,78,1174,-500,-1090084228,-537087178,18480,1090079888,537067088,0,-1078,84,-345,1980,101035,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,126,1174,-451,-1090073658,-537080528,-3990,1090079888,537067088,0,-1003,69,-332,1980,101035,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,29,1076,-402,-1090072328,-537070728,-9730,1090079888,537067088,0,-919,10,-321,1980,101035,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-19,979,-451,-1090084648,-537069818,-11060,1090079888,537067088,0,-851,75,-417,1980,101047,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-19,832,-549,-1090066780,-537076958,-5320,1090080080,537067088,0,-839,-93,-282,1980,101047,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-19,881,-354,-1090061530,-537075628,-1330,1090080080,537067088,0,-817,-42,-283,1979,101031,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-19,881,-402,-1090068764,-537074718,840,1090079824,537067088,0,-826,22,-409,1980,101035,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-19,881,-451,-1090075828,-537088508,-10570,1090079888,537067088,0,-956,-50,-384,1980,101047,65384,8194,1,0,16,1,536871680,
1,138:253:65535:0,1,-117,1076,-451,-1090051870,-537083608,-14980,1090080080,537067088,0,-1034,-163,-331,1980,101047,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-166,1076,-451,-1090046550,-537077798,-25550,1090080080,537067088,0,-930,-109,-293,1979,101043,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-68,979,-305,-1090063636,-537070308,-25970,1090080016,537067088,0,-848,-89,-253,1980,101035,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,881,-305,-1090072328,-537061838,-18060,1090079888,537067088,0,-896,-153,-271,1980,101047,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-214,930,-451,-1090069440,-537048958,-6650,1090080080,537067088,0,-922,-140,-292,1979,101031,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,979,-451,-1090070934,-537050778,420,1090079824,537067088,0,-918,-129,-289,1979,101043,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-166,930,-402,-1090063636,-537060508,0,1090080016,537067088,0,-909,-131,-294,1979,101043,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-214,930,-402,-1090067206,-537065408,5250,1090080016,537067088,0,-925,-123,-355,1980,101047,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,979,-500,-1090065940,-537051618,9660,1090080080,537067088,0,-944,-102,-411,1979,101043,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,1028,-598,-1090051806,-537048958,14070,1090080016,537067088,0,-989,-94,-460,1980,101035,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,1076,-646,-1090035858,-537051618,11900,1090079888,537067088,0,-1009,-74,-445,1979,101031,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-68,1076,-549,-1090019484,-537051618,7490,1090079824,537067088,0,-979,-77,-386,1979,101031,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-19,979,-500,-1090020394,-537050288,7490,1090079824,537067088,0,-929,-94,-341,1979,101031,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-117,930,-451,-1090023474,-537051198,14070,1090079824,537067088,0,-902,-99,-332,1979,101031,65384,8194,1,0,16,1,536871680,
