18:09:54.756: Date,Time,ChangeFlag,ACC X,ACC Y,ACC Z,IMU X_RATE,IMU Y_RATE,IMU Z_RATE,          IMU X_OFFSET,IMU Y_OFFSET,IMU Z_OFFSET,IMU ACC_X,IMU ACC_Y,IMU ACC_Z,MS5611 Temperature,MS5611 Pressure,GNSS Lat,GNSS Long,GNSS Alt,GNSS velocity,BME280 Pressure,BME280 Temperature,BME280 Humidity,
18:09:59.857: 8,0:0:0:3445,1,-19,-826,182,17850,-6860,-210,-1063235597,0,1,980,-15,80,1858,99813,0,0,65344,8194,-1392510048,-1,0,
18:09:59.968: 0,0:0:0:3445,1,-68,-972,85,-490,-3360,-630,-1063238686,0,1,986,-33,314,1858,99824,0,0,65344,8194,-1392510048,-1,0,
18:10:00.075: 32,0:0:0:3445,1,-19,-972,134,3010,-9520,1610,-1063235597,0,1,977,-21,184,1858,99813,0,0,65344,8194,-1392510048,-1,0,
18:10:00.287: 32,0:0:0:3445,1,-68,-924,85,3850,-4690,210,-1063238686,0,1,970,-37,266,1857,99809,0,0,65344,8194,-1392510048,-1,0,
18:10:00.398: 32,0:0:0:3445,1,-68,-875,134,4760,-7280,15960,-1063240353,0,1,974,-11,212,1857,99809,0,0,65344,8194,-1392510048,-1,0,
18:10:00.507: 32,0:0:0:3445,1,-19,-875,36,2590,-3360,-630,-1063240353,0,1,979,-4,200,1857,99820,0,0,65344,8194,-1392510048,-1,0,
18:10:00.720: 8,0:0:0:3445,1,-68,-924,85,2100,-6860,-630,-1063237266,0,1,976,-42,288,1857,99820,0,0,65344,8194,-1392510048,-1,0,
18:10:00.830: 8,0:0:0:3445,1,29,-924,182,1680,-4200,700,-1063237266,0,1,982,-50,254,1857,99820,0,0,65344,8194,-1392510048,-1,0,
18:10:00.941: 32,0:0:0:3445,1,-19,-875,134,4340,-5110,2450,-1063237266,0,1,977,-21,284,1857,99832,0,0,65344,8194,-1392510048,-1,0,
18:10:01.156: 0,0:0:0:3445,1,-19,-826,85,840,-3780,210,-1063233899,0,1,975,-13,243,1857,99820,0,0,65344,8194,-1392510048,-1,0,
